tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
162,5a_capital_return_5pct,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0648,163.3
163,5a_capital_return_5pct,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0648,163.3
164,5a_capital_return_5pct,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0648,163.3
165,5a_capital_return_5pct,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0648,163.4
166,5a_capital_return_5pct,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0648,163.4
167,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0649,163.4
168,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0649,163.5
169,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0649,163.5
170,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0649,163.5
171,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0649,163.6
172,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0649,163.6
173,5a_capital_return_5pct,1,0.065,0.065,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.065,163.6
