tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
357,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10895.95,52992.0,42096.05,12.0,90.0
358,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10886.95,52992.0,42105.05,12.0,90.0
359,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10886.95,52992.0,42105.05,12.0,90.0
360,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10877.95,52992.0,42114.05,12.0,90.0
361,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10877.95,52992.0,42114.05,12.0,90.0
362,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10877.95,52992.0,42114.05,12.0,90.0
363,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10877.95,52992.0,42114.05,12.0,90.0
364,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10877.95,52992.0,42114.05,12.0,90.0
365,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10868.95,52992.0,42123.05,12.0,90.0
366,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10859.94,52992.0,42132.06,12.0,90.0
367,2_padrao,1,0.0646,0.0646,0.0,0.0,0,0.0,128,-10814.93,52992.0,42177.07,12.0,90.0
368,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10814.93,52992.0,42177.07,12.0,90.0
369,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10814.93,52992.0,42177.07,12.0,90.0
370,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10814.93,52992.0,42177.07,12.0,90.0
371,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10814.93,52992.0,42177.07,12.0,90.0
372,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10814.93,52992.0,42177.07,12.0,90.0
373,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10814.93,52992.0,42177.07,12.0,90.0
374,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10814.93,52992.0,42177.07,12.0,90.0
375,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10805.93,52992.0,42186.07,12.0,90.0
376,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10805.93,52992.0,42186.07,12.0,90.0
377,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10796.93,52992.0,42195.07,12.0,90.0
