tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
457,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
458,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
459,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
460,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
461,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
462,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
463,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
464,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10217.98,39398.4,29180.42,12.0,90.0
465,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10217.98,39398.4,29180.42,12.0,90.0
466,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10217.98,39398.4,29180.42,12.0,90.0
467,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10217.98,39398.4,29180.42,12.0,90.0
468,3b_corte_gradual,1,0.0638,0.0638,0.0,0.0,0,0.0,128,-10208.97,39398.4,29189.43,12.0,90.0
469,3b_corte_gradual,1,0.0638,0.0638,0.0,0.0,0,0.0,128,-10208.97,39398.4,29189.43,12.0,90.0
470,3b_corte_gradual,1,0.0638,0.0638,0.0,0.0,0,0.0,128,-10199.96,39398.4,29198.44,12.0,90.0
471,3b_corte_gradual,1,0.0638,0.0638,0.0,0.0,0,0.0,128,-10199.96,39398.4,29198.44,12.0,90.0
472,3b_corte_gradual,1,0.0639,0.0639,0.0,0.0,0,0.0,128,-10199.96,39398.4,29198.44,12.0,90.0
473,3b_corte_gradual,1,0.0639,0.0639,0.0,0.0,0,0.0,128,-10199.96,39398.4,29198.44,12.0,90.0
474,3b_corte_gradual,1,0.064,0.064,0.0,0.0,0,0.0,128,-10190.96,39398.4,29207.44,12.0,90.0
475,3b_corte_gradual,1,0.064,0.064,0.0,0.0,0,0.0,128,-10190.96,39398.4,29207.44,12.0,90.0
476,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10190.96,39398.4,29207.44,12.0,90.0
477,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10190.96,39398.4,29207.44,12.0,90.0
478,3b_corte_gradual,1,0.0642,0.0642,0.0,0.0,0,0.0,128,-10181.96,39398.4,29216.44,12.0,90.0
479,3b_corte_gradual,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10181.96,39398.4,29216.44,12.0,90.0
480,3b_corte_gradual,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10181.96,39398.4,29216.44,12.0,90.0
481,3b_corte_gradual,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10163.95,39398.4,29234.45,12.0,90.0
482,3b_corte_gradual,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10154.94,39398.4,29243.46,12.0,90.0
483,3b_corte_gradual,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10154.94,39398.4,29243.46,12.0,90.0
484,3b_corte_gradual,1,0.0646,0.0646,0.0,0.0,0,0.0,128,-10145.94,39398.4,29252.46,12.0,90.0
485,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-10118.93,39398.4,29279.47,12.0,90.0
486,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-10100.92,39398.4,29297.48,12.0,90.0
